Component,RL Category,RL Number,Description,Manufacturer,Part Number,Stock Code,Electrical Address,Component Application,Reference Tag,Settings,Image,Resources,Cutsheet,Maintenance Video,Stores Part #
10.6,,,"3-Pos, 4-Way Directional Control Valve",Eaton,DG4S4-016C-U-H-60,,,"This 3-position, 4-way, float-centered directional control valve provides directional flow to extend or retract hydraulic cylinders 13.5 and 13.6.",,,10.6.jpg,H088.mp4,Eaton DCV DG4SA.pdf,,Not Provided
10.7,,,"3-Pos, 4-Way Directional Control Valve",Eaton,DG4S4-016C-U-H-60,,,"This 3-position, 4-way, float-centered directional control valve provides directional flow to extend or retract hydraulic cylinder 13.7.",,,10.7.jpg,H088.mp4,Eaton DCV DG4SA.pdf,,Not Provided
10.8,,,"3-Pos, 4-Way Directional Control Valve",Eaton,DG4S4-016C-U-H-60,,,"This 3-position, 4-way, float-centered directional control valve provides directional flow to its respective manifold actuators, currently not in use.",,,10.8.jpg,H088.mp4,Eaton DCV DG4SA.pdf,,Not Provided
11.1,,,PO Check Valve,Eaton,DGMPC-S-ABM-BAM-30,,,This B-line pilot operated check valve is used to hold cylinder 13.1 from retracting when the directional control valve is centered. It also is piloted open when the directional control valve is shifted to retract the cylinder.,,,11.1.jpg,H109.mp4,Eaton PO CheckValveDGM-5 30.pdf,,Not Provided
11.2,,,PO Check Valve,Eaton,DGMPC-S-ABM-BAM-30,,,This B-line pilot operated check valve is used to hold cylinder 13.2 from retracting when the directional control valve is centered. It also is piloted open when the directional control valve is shifted to retract the cylinder.,,,11.2.jpg,H109.mp4,Eaton PO CheckValveDGM-5 30.pdf,,Not Provided
11.3,,,PO Check Valve,Eaton,DGMPC-S-ABM-BAM-30,,,Not in use.,,,11.3.jpg,H109.mp4,Eaton PO CheckValveDGM-5 30.pdf,,Not Provided
11.4,,,PO Check Valve,Eaton,DGMPC-S-ABM-BAM-30,,,Not in use.,,,11.4.jpg,H109.mp4,Eaton PO CheckValveDGM-5 30.pdf,,Not Provided
11.5,,,PO Check Valve,Eaton,DGMPC-S-ABM-BAM-30,,,This B-line pilot operated check valve is used to hold cylinders 13.3 and 13.4 from retracting when the directional control valve is centered. It also is piloted open when the directional control valve is shifted to retract the cylinder.,,,11.5.jpg,H109.mp4,Eaton PO CheckValveDGM-5 30.pdf,,Not Provided
11.6,,,PO Check Valve,Eaton,DGMPC-S-ABM-BAM-30,,,This B-line pilot operated check valve is used to hold cylinders 13.5 and 13.6 from retracting when the directional control valve is centered. It also is piloted open when the directional control valve is shifted to retract the cylinder.,,,11.6.jpg,H109.mp4,Eaton PO CheckValveDGM-5 30.pdf,,Not Provided
11.7,,,PO Check Valve,Eaton,DGMPC-S-ABM-BAM-30,,,This B-line pilot operated check valve is used to hold cylinder 13.7 from retracting when the directional control valve is centered. It also is piloted open when the directional control valve is shifted to retract the cylinder.,,,11.7.jpg,H109.mp4,Eaton PO CheckValveDGM-5 30.pdf,,Not Provided
11.8,,,PO Check Valve,Eaton,DGMPC-S-ABM-BAM-30,,,Not in use.,,,11.8.jpg,H109.mp4,Eaton PO CheckValveDGM-5 30.pdf,,Not Provided
12.1,,,Dual Flow Control Valve,Rexroth,Z2FS 10-S-35/V,,,"This dual flow control valve meters out exhaust flow while cylinder 13.1 is extending or retracting, thus controlling the speed of the actuator.",,,12.1.jpg,H329.mp4,rr34a.pdf,,Not Provided
12.2,,,Dual Flow Control Valve,Rexroth,Z2FS 10-S-35/V,,,"This dual flow control valve meters out exhaust flow while cylinder 13.2 is extending or retracting, thus controlling the speed of the actuator.",,,12.2.jpg,H329.mp4,rr34a.pdf,,Not Provided
12.3,,,Dual Flow Control Valve,Rexroth,Z2FS 10-S-35/V,,,Not in use.,,,12.3.jpg,H329.mp4,rr34a.pdf,,Not Provided
12.4,,,Dual Flow Control Valve,Rexroth,Z2FS 10-S-35/V,,,Not in use.,,,12.4.jpg,H329.mp4,rr34a.pdf,,Not Provided
12.5,,,Dual Flow Control Valve,Rexroth,Z2FS 10-S-35/V,,,"This dual flow control valve meters out exhaust flow while cylinders 13.3 and 13.4 is extending or retracting, thus controlling the speed of the actuator.",,,12.5.jpg,H329.mp4,rr34a.pdf,,Not Provided
12.6,,,Dual Flow Control Valve,Rexroth,Z2FS 10-S-35/V,,,"This dual flow control valve meters out exhaust flow while cylinders 13.5 and 13.6 is extending or retracting, thus controlling the speed of the actuator.",,,12.6.jpg,H329.mp4,rr34a.pdf,,Not Provided
12.7,,,Dual Flow Control Valve,Rexroth,Z2FS 10-S-35/V,,,"This dual flow control valve meters out exhaust flow while cylinder 13.7 is extending or retracting, thus controlling the speed of the actuator.",,,12.7.jpg,H329.mp4,rr34a.pdf,,Not Provided
12.8,,,Dual Flow Control Valve,Rexroth,Z2FS 10-S-35/V,,,Not in use.,,,12.8.jpg,H329.mp4,rr34a.pdf,,Not Provided
13.1,,,Cylinder,Parker,Not Provided,,,"This actuator converts hydraulic horsepower back to mechanical, which raises or lowers the lift table.",,,13.1.jpg,H050.mp4,,,Not Provided
13.2,,,Cylinder,Parker,Not Provided,,,"This actuator converts hydraulic horsepower back to mechanical, which raises or lowers the lift table.",,,13.2.jpg,H050.mp4,,,Not Provided
13.3,,,Cylinder,Parker,Not Provided,,,This is one of two actuators that convert hydraulic horsepower back to mechanical to control the pipe kickers.,,,13.3.jpg,H050.mp4,,,Not Provided
13.4,,,Cylinder,Parker,Not Provided,,,This is one of two actuators that convert hydraulic horsepower back to mechanical to control the pipe kickers.,,,13.4.jpg,H050.mp4,,,Not Provided
13.5,,,Cylinder,Parker,Not Provided,,,This is one of two actuators that convert hydraulic horsepower back to mechanical to control the pipe kickers.,,,13.5.jpg,H050.mp4,,,Not Provided
13.6,,,Cylinder,Parker,Not Provided,,,This is one of two actuators that convert hydraulic horsepower back to mechanical to control the pipe kickers.,,,13.6.jpg,H050.mp4,,,Not Provided
13.7,,,Cylinder,Parker,Not Provided,,,"This actuator converts hydraulic horsepower back to mechanical, which raises or lowers the cleanout brush.",,,13.7.jpg,H050.mp4,,,Not Provided
14,,,Check Valve,Rexroth,20380,,,"This check valve provides a one direction only for pump flow, eliminating any possibility of reverse flow back to the pump.",,,14.jpg,H126.mp4,rr144.mp4,,Not Provided
15,,,Ball Valve,Hydac,Not Provided,,,This ball valve isolates the rod side of actuator 13.7 from its A circuit.,,,15.jpg,H098.mp4,Hydac BallValve.pdf,,Not Provided
16,,,Ball Valve,Hydac,Not Provided,,,This ball valve isolates the piston side of actuator 13.7 from its B circuit.,,,16.jpg,H098.mp4,Hydac BallValve.pdf,,Not Provided
